SHG temperature setpoint [C],SHG temperature [C],output power [mW]
49.2,49.1776,54.6
49.300000000000004,49.2718,70.98
49.400000000000006,49.4118,89.18
49.5,49.5294,105.56
49.6,49.6424,125.58
49.7,49.7282,141.96
49.800000000000004,49.7953,156.52
49.900000000000006,49.9835,167.44
50.0,50.0537,172.9
50.1,50.1363,174.72
50.2,50.25,171.08
50.300000000000004,50.33,163.8
50.400000000000006,50.495,151.06
50.5,50.5562,136.5
50.6,50.63,116.48
50.7,50.7487,96.46
50.800000000000004,50.875,76.44
50.900000000000006,50.9975,58.24
51.0,51.065,41.86
51.1,51.1325,29.12
51.2,51.2488,18.2
51.300000000000004,51.345,10.92
51.400000000000006,51.495,5.46
51.5,51.6038,0.0
51.6,51.6813,0.0
51.7,51.7513,0.0
51.800000000000004,51.8587,0.0
51.900000000000006,52.0,0.0
52.0,52.0987,0.0
52.1,52.1575,0.0
52.2,52.25,0.0
