SHG temperature setpoint [C],SHG temperature [C],output power [mW]
49.2,49.1776,7.28
49.260000000000005,49.2882,7.28
49.32,49.3177,9.1
49.38,49.4082,9.1
49.440000000000005,49.52,10.92
49.5,49.5294,10.92
49.56,49.6129,10.92
49.620000000000005,49.6494,12.74
49.68,49.7188,14.56
49.74,49.7671,18.2
49.800000000000004,49.88,21.84
49.86,49.8882,25.48
49.92,50.0,30.94
49.980000000000004,50.0025,34.58
50.040000000000006,50.125,41.86
50.1,50.145,50.96
50.160000000000004,50.2487,58.24
50.220000000000006,50.2513,67.34
50.28,50.3325,76.44
50.34,50.375,85.54
50.400000000000006,50.4938,96.46
50.46,50.5013,107.38
50.52,50.5987,114.66
50.580000000000005,50.625,127.4
50.64,50.6837,134.68
50.7,50.75,143.78
50.760000000000005,50.855,152.88
50.82,50.875,158.34
50.88,50.9363,165.62
50.940000000000005,51.0,169.26
51.0,51.0888,171.08
51.06,51.125,172.9
51.120000000000005,51.21,172.9
51.18,51.25,171.08
51.24,51.27,167.44
51.300000000000004,51.375,163.8
51.36,51.425,154.7
51.42,51.5,145.6
51.480000000000004,51.5175,138.32
51.540000000000006,51.62,127.4
51.6,51.7063,116.48
51.660000000000004,51.75,105.56
51.720000000000006,51.7787,92.82
51.78,51.875,80.08
51.84,51.88,70.98
51.900000000000006,52.0,58.24
51.96,52.0088,49.14
52.02,52.12,40.04
52.080000000000005,52.1312,30.94
52.14,52.2175,23.66
52.2,52.2563,16.38
